cell_line,phase,time_point,old_centroids,new_centroids
mutant,Maintenance,60,30,9
mutant,Maintenance,60,12,4
mutant,Maintenance,60,142,27
mutant,Maintenance,60,153,8
mutant,Maintenance,60,68,0
mutant,Maintenance,60,36,9
mutant,Maintenance,60,30,0
mutant,Maintenance,60,21,0
mutant,Maintenance,60,40,0
mutant,Maintenance,60,33,9
mutant,Maintenance,60,67,10
mutant,Maintenance,60,104,2
mutant,Maintenance,60,136,10
mutant,Maintenance,60,126,20
mutant,Maintenance,60,95,20
mutant,Maintenance,60,54,17
mutant,Maintenance,60,161,34
mutant,Maintenance,60,175,0
mutant,Maintenance,60,200,0
mutant,Maintenance,60,58,0
mutant,Maintenance,60,37,10
mutant,Maintenance,100,13,5
mutant,Maintenance,100,41,0
mutant,Maintenance,100,25,4
mutant,Maintenance,100,36,5
mutant,Maintenance,100,21,7
mutant,Maintenance,100,29,3
mutant,Maintenance,100,17,4
mutant,Maintenance,100,97,24
mutant,Maintenance,100,44,2
mutant,Maintenance,100,42,10
mutant,Maintenance,100,32,0
mutant,Maintenance,100,24,8
mutant,Maintenance,100,60,0
mutant,Maintenance,100,23,4
mutant,Maintenance,100,39,1
mutant,Maintenance,100,36,2
mutant,Maintenance,100,33,5
mutant,Maintenance,100,21,2
mutant,Maintenance,100,46,18
mutant,Maintenance,100,94,25
mutant,Maintenance,140,27,1
mutant,Maintenance,140,130,34
mutant,Maintenance,140,297,0
mutant,Maintenance,140,453,93
mutant,Maintenance,140,51,2
mutant,Maintenance,140,125,0
mutant,Maintenance,140,51,16
mutant,Maintenance,140,93,29
mutant,Maintenance,140,128,5
mutant,Maintenance,140,54,8
mutant,Maintenance,140,98,0
mutant,Maintenance,140,53,0
mutant,Maintenance,140,101,35
mutant,Maintenance,140,83,11
mutant,Maintenance,140,35,2
mutant,Maintenance,140,33,12
mutant,Maintenance,140,154,0
mutant,Maintenance,140,32,8
mutant,Maintenance,140,67,25
mutant,Maintenance,180,29,3
mutant,Maintenance,180,39,3
mutant,Maintenance,180,109,28
mutant,Maintenance,180,263,64
mutant,Maintenance,180,31,9
mutant,Maintenance,180,15,7
mutant,Maintenance,180,41,11
mutant,Maintenance,180,39,14
mutant,Maintenance,180,76,13
mutant,Maintenance,180,69,13
mutant,Maintenance,180,75,0
mutant,Maintenance,180,51,14
mutant,Maintenance,180,20,4
mutant,Maintenance,180,7,4
mutant,Maintenance,180,41,2
mutant,Maintenance,180,21,6
mutant,Maintenance,180,28,3
mutant,Maintenance,180,19,7
mutant,Maintenance,180,33,7
mutant,Maintenance,180,28,2
mutant,Maintenance,180,133,58
mutant,Maintenance,180,56,3
mutant,Maintenance,220,74,27
mutant,Maintenance,220,18,6
mutant,Maintenance,220,26,10
mutant,Maintenance,220,5,4
mutant,Maintenance,220,102,25
mutant,Maintenance,220,84,15
mutant,Maintenance,220,43,4
mutant,Maintenance,220,45,25
mutant,Maintenance,220,185,9
mutant,Maintenance,220,56,21
mutant,Maintenance,220,87,6
mutant,Maintenance,220,24,4
mutant,Maintenance,220,60,17
mutant,Maintenance,220,18,3
mutant,Maintenance,220,77,41
mutant,Maintenance,220,49,8
mutant,Maintenance,220,214,71
mutant,Maintenance,220,44,5
mutant,Maintenance,220,77,18
mutant,Maintenance,220,53,20
spen_mutant,Initiation,10,163,36
spen_mutant,Initiation,10,196,0
spen_mutant,Initiation,10,215,34
spen_mutant,Initiation,10,172,0
spen_mutant,Initiation,10,268,0
spen_mutant,Initiation,10,120,43
spen_mutant,Initiation,10,59,6
spen_mutant,Initiation,10,105,0
spen_mutant,Initiation,10,143,13
spen_mutant,Initiation,10,381,50
spen_mutant,Initiation,10,264,0
spen_mutant,Initiation,10,143,20
spen_mutant,Initiation,10,81,4
spen_mutant,Initiation,10,171,14
spen_mutant,Initiation,10,332,107
spen_mutant,Initiation,10,535,0
spen_mutant,Initiation,10,388,93
spen_mutant,Initiation,20,118,63
spen_mutant,Initiation,20,278,96
spen_mutant,Initiation,20,113,7
spen_mutant,Initiation,20,139,12
spen_mutant,Initiation,20,158,26
spen_mutant,Initiation,20,315,58
spen_mutant,Initiation,20,187,9
spen_mutant,Initiation,20,71,13
spen_mutant,Initiation,20,52,9
spen_mutant,Initiation,20,45,11
spen_mutant,Initiation,20,185,38
spen_mutant,Initiation,20,162,60
spen_mutant,Initiation,20,136,63
spen_mutant,Initiation,20,197,11
spen_mutant,Initiation,20,318,25
spen_mutant,Initiation,20,64,11
spen_mutant,Initiation,20,135,17
spen_mutant,Initiation,30,91,60
spen_mutant,Initiation,30,88,31
spen_mutant,Initiation,30,161,34
spen_mutant,Initiation,30,198,100
spen_mutant,Initiation,30,208,92
spen_mutant,Initiation,30,147,73
spen_mutant,Initiation,30,82,47
spen_mutant,Initiation,30,54,21
spen_mutant,Initiation,30,128,49
spen_mutant,Initiation,30,142,59
spen_mutant,Initiation,30,301,166
spen_mutant,Initiation,30,35,20
spen_mutant,Initiation,30,75,38
spen_mutant,Initiation,30,105,37
spen_mutant,Initiation,30,24,12
spen_mutant,Initiation,30,24,4
spen_mutant,Initiation,30,9,6
spen_mutant,Initiation,40,53,56
spen_mutant,Initiation,40,5,5
spen_mutant,Initiation,40,4,7
spen_mutant,Initiation,40,54,53
spen_mutant,Initiation,40,18,25
spen_mutant,Initiation,40,20,29
spen_mutant,Initiation,40,67,56
spen_mutant,Initiation,40,39,29
spen_mutant,Initiation,40,3,4
spen_mutant,Initiation,40,66,59
spen_mutant,Initiation,40,66,92
spen_mutant,Initiation,40,68,75
spen_mutant,Initiation,40,18,23
spen_mutant,Initiation,40,28,23
spen_mutant,Initiation,40,7,9
spen_mutant,Initiation,40,3,3
spen_mutant,Initiation,40,37,30
spen_mutant,Initiation,50,76,197
spen_mutant,Initiation,50,24,75
spen_mutant,Initiation,50,55,147
spen_mutant,Initiation,50,11,34
spen_mutant,Initiation,50,8,23
spen_mutant,Initiation,50,16,65
spen_mutant,Initiation,50,33,102
spen_mutant,Initiation,50,6,22
spen_mutant,Initiation,50,21,68
spen_mutant,Initiation,50,14,40
spen_mutant,Initiation,50,9,30
spen_mutant,Initiation,50,23,87
spen_mutant,Initiation,50,16,59
spen_mutant,Initiation,50,10,31
spen_mutant,Initiation,50,23,74
spen_mutant,Initiation,50,25,68
spen_mutant,Initiation,50,20,78
spen_mutant,Initiation,60,7,66
